"Date","DailyDischarge","DailySSC","DailySuspendedSediment","DailySSfines","DailySSsand","TotalSedimentDischarge","ProjectYear","TimeStamp"
"2013-04-18",55.2,1104.9,5266.1,3357.8,1908.2,7021,"proj year 2","During"
"2013-04-19",57.5,1091.1,5420.2,3478,1942.2,7227,"proj year 2","During"
"2013-04-20",55.2,1054,5030.7,3233.7,1797,6708,"proj year 2","During"
"2013-04-21",48.3,1120.7,4681.2,2998.7,1682.5,6242,"proj year 2","During"
"2013-04-22",49.3,1099,4685.7,3031.8,1653.9,6248,"proj year 2","During"
"2013-04-23",45.4,784.2,3073.3,2105.2,968.1,4098,"proj year 2","During"
"2013-04-24",41.7,731.9,2635.9,1854.5,781.5,3515,"proj year 2","During"
"2013-04-25",41.6,706,2539.4,1793.2,746.2,3386,"proj year 2","During"
"2013-04-26",47.3,777.5,3180.4,2200.9,979.5,4241,"proj year 2","During"
"2013-04-27",48.1,941.8,3916,2574,1342,5221,"proj year 2","During"
"2013-04-28",45.1,1081.8,4216.3,2718.3,1498,5622,"proj year 2","During"
"2013-04-29",39,1102.5,3719.2,2392.7,1326.5,4959,"proj year 2","During"
"2013-04-30",33.6,1161.6,3369.4,2146.6,1222.8,4493,"proj year 2","During"
"2013-05-01",32.3,1386.8,3867,2392.7,1474.3,5156,"proj year 2","During"
"2013-05-02",30.6,938.5,2478.1,1637.4,840.7,3304,"proj year 2","During"
"2013-05-03",25.9,1139.8,2551.4,1595.2,956.3,3402,"proj year 2","During"
"2013-05-04",34.6,1194.1,3569.2,2281.8,1287.4,4759,"proj year 2","During"
"2013-05-05",49.2,2131.4,9060.1,5346.2,3713.8,12080,"proj year 2","During"
"2013-05-06",76.3,5449.8,35933,19275.6,16657.4,47911,"proj year 2","During"
"2013-05-07",101.7,8553.4,75123.4,38628.2,36495.2,100165,"proj year 2","During"
"2013-05-08",105.7,7745.6,70749.8,36432.1,34317.8,94333,"proj year 2","During"
"2013-05-09",104.4,8572.2,77353.3,39532.1,37821.2,103138,"proj year 2","During"
"2013-05-10",105,8097.8,73489.3,38086.2,35403.1,97986,"proj year 2","During"
"2013-05-11",110.6,6998.6,66906.3,35234,31672.3,89208,"proj year 2","During"
"2013-05-12",140.9,8138.2,99092.1,51511.5,47580.6,132123,"proj year 2","During"
"2013-05-13",127.6,8128.4,89618.2,46471.4,43146.8,119491,"proj year 2","During"
"2013-05-14",102.2,7512.9,66338.6,34824.6,31514,88451,"proj year 2","During"
"2013-05-15",80.4,7343.7,51032,27046.8,23985.2,68043,"proj year 2","During"
"2013-05-16",75.7,7617.5,49845.6,26206.7,23638.8,66461,"proj year 2","During"
"2013-05-17",78.4,8812.6,59705.6,30596.6,29109,79607,"proj year 2","During"
"2013-05-18",68.8,6914.8,41119.1,21397.5,19721.6,54825,"proj year 2","During"
"2013-05-19",56.1,6117.2,29625,15537.7,14087.3,39500,"proj year 2","During"
"2013-05-20",51,5575.5,24586.4,12996.5,11589.9,32782,"proj year 2","During"
"2013-05-21",51.4,4802.2,21322.6,11391.2,9931.5,28430,"proj year 2","During"
"2013-05-22",46.5,3467,13937.4,7814.6,6122.8,18583,"proj year 2","During"
"2013-05-23",43.8,2925.8,11065,6203.8,4861.2,14753,"proj year 2","During"
"2013-05-24",40.3,2949.7,10277.1,5868.3,4408.9,13703,"proj year 2","During"
"2013-05-25",37.8,2486.3,8110.7,4704.5,3406.2,10814,"proj year 2","During"
"2013-05-26",45.5,2006.1,7878.6,4675.8,3202.8,10505,"proj year 2","During"
"2013-05-27",60.9,1726.7,9078.1,5472.3,3605.8,12104,"proj year 2","During"
"2013-05-28",67.8,1501.8,8800.9,5404,3396.9,11735,"proj year 2","During"
"2013-05-29",69.3,1535.4,9195.6,5611.8,3583.7,12261,"proj year 2","During"
"2013-05-30",67.2,1447.4,8404.2,5178.1,3226,11206,"proj year 2","During"
"2013-05-31",64.8,1187.7,6654,4243.1,2410.9,8872,"proj year 2","During"
"2013-06-01",63.3,1064.4,5822.6,3804,2018.5,7763,"proj year 2","During"
"2013-06-02",67.7,1111.1,6495.2,4223.5,2271.8,8660,"proj year 2","During"
"2013-06-03",73.5,1150.1,7298.6,4692.8,2605.8,9731,"proj year 2","During"
"2013-06-04",78.5,1139.3,7724.3,4964.7,2759.6,10299,"proj year 2","During"
"2013-06-05",87.8,1204.3,9137.1,5842.7,3294.3,12183,"proj year 2","During"
"2013-06-06",91.6,1961.4,15528.8,9202,6326.8,20705,"proj year 2","During"
"2013-06-07",86.2,3051.6,22720.2,12868.8,9851.4,30294,"proj year 2","During"
"2013-06-08",78.7,3902.3,26521,14598.6,11922.4,35361,"proj year 2","During"
"2013-06-09",71.5,2957.8,18280.9,10360.2,7920.7,24375,"proj year 2","During"
"2013-06-10",66.9,2621.5,15147.4,8697.7,6449.7,20196,"proj year 2","During"
"2013-06-11",62.3,2896.4,15584.5,8854.7,6729.8,20779,"proj year 2","During"
"2013-06-12",60.6,3284.7,17210.9,9651.4,7559.5,22948,"proj year 2","During"
"2013-06-13",55.7,3381.7,16284.9,9088.3,7196.6,21713,"proj year 2","During"
"2013-06-14",53.7,2807.2,13026.5,7419.6,5606.9,17369,"proj year 2","During"
"2013-06-15",55.4,2063.1,9875.8,5813.2,4062.6,13168,"proj year 2","During"
"2013-06-16",56.4,1699.7,8277.2,4982,3295.2,11036,"proj year 2","During"
"2013-06-17",62.1,1901.6,10209.4,6083.1,4126.2,13612,"proj year 2","During"
"2013-06-18",66.6,3344.5,19232.2,10795.4,8436.8,25643,"proj year 2","During"
"2013-06-19",59.1,2739.1,13994.7,7992.3,6002.4,18660,"proj year 2","During"
"2013-06-20",53,1645.4,7530.2,4564,2966.3,10040,"proj year 2","During"
"2013-06-21",51.9,1276,5724.3,3633.3,2091,7632,"proj year 2","During"
"2013-06-22",50.7,958.2,4200.6,2820.1,1380.4,5601,"proj year 2","During"
"2013-06-23",57.2,996,4924.8,3297.9,1626.9,6566,"proj year 2","During"
"2013-06-24",62.4,1222.3,6588.2,4191.8,2396.4,8784,"proj year 2","During"
"2013-06-25",62.1,1183.8,6347.8,4058.3,2289.5,8464,"proj year 2","During"
"2013-06-26",69.7,1654.2,9960.1,6016.3,3943.7,13280,"proj year 2","During"
"2013-06-27",71.8,1616.3,10021.4,6068.9,3952.5,13362,"proj year 2","During"
"2013-06-28",70.1,1852,11210.7,6612,4598.7,14948,"proj year 2","During"
"2013-06-29",69.1,2493.6,14893.3,8567.3,6326,19858,"proj year 2","During"
"2013-06-30",70.8,3402,20802.7,11581,9221.8,27737,"proj year 2","During"
"2013-07-01",81,3553.4,24882,13828.4,11053.6,33176,"proj year 2","During"
"2013-07-02",89.1,3876.7,29844.2,16329.8,13514.4,39792,"proj year 2","During"
"2013-07-03",73.9,2463.4,15725.9,9010.3,6715.7,20968,"proj year 2","During"
"2013-07-04",64,1683.1,9305.6,5569.3,3736.2,12407,"proj year 2","During"
"2013-07-05",58.4,1406.1,7096.5,4399,2697.6,9462,"proj year 2","During"
"2013-07-06",55.7,1033,4969.9,3294.1,1675.8,6626,"proj year 2","During"
"2013-07-07",53.7,895.9,4157.8,2857.3,1300.5,5544,"proj year 2","During"
"2013-07-08",53.9,844.4,3930.1,2820,1110.1,5240,"proj year 2","During"
"2013-07-09",52.2,865.5,3900.8,2830.8,1070.1,5201,"proj year 2","During"
"2013-07-10",51.8,570,2553,1865.6,687.4,3404,"proj year 2","During"
"2013-07-11",47.2,198.9,811.3,624.6,186.7,1082,"proj year 2","During"
"2013-07-12",40.8,165.8,584.8,462.6,122.2,780,"proj year 2","During"
"2013-07-13",37.1,149.1,478.5,385.5,93,638,"proj year 2","During"
"2013-07-14",36,135.6,421.6,345.3,76.3,562,"proj year 2","During"
"2013-07-15",36,118.2,367,308.7,58.3,489,"proj year 2","During"
"2013-07-16",35.4,114.8,350.9,296.2,54.7,468,"proj year 2","During"
"2013-07-17",36,129.9,404,334.3,69.6,539,"proj year 2","During"
"2013-07-18",36.9,129.9,413.9,340.8,73.2,552,"proj year 2","During"
"2013-07-19",35.8,121.2,375,313,62,500,"proj year 2","During"
"2013-07-20",34.5,111.3,331.3,281.7,49.6,442,"proj year 2","During"
"2013-07-21",33.3,108.1,311.2,267.2,44.1,415,"proj year 2","During"
"2013-07-22",32.9,106.8,303.8,261.5,42.2,405,"proj year 2","During"
"2013-07-23",31.5,101.9,277.2,239.1,38.1,370,"proj year 2","During"
"2013-07-24",31.1,100,268.5,233.9,34.7,358,"proj year 2","During"
"2013-07-25",30.4,90.8,238.4,215.2,23.2,318,"proj year 2","During"
"2013-07-26",29.3,83.8,212.3,195.7,16.6,283,"proj year 2","During"
"2013-07-27",28.3,83.9,204.9,190.2,14.7,273,"proj year 2","During"
"2013-07-28",27.2,87.4,205.3,187.9,17.4,274,"proj year 2","During"
"2013-07-29",26.4,83.3,190,176,14,253,"proj year 2","During"
"2013-07-30",26,85.6,192.1,175.7,16.5,256,"proj year 2","During"
"2013-07-31",25.6,79,175,159.7,15.3,233,"proj year 2","During"
"2013-08-01",25.7,77.9,173.3,161.7,11.6,231,"proj year 2","During"
"2013-08-02",25.3,80.8,177,164,13,236,"proj year 2","During"
"2013-08-03",24.2,82.2,171.5,156.1,15.4,229,"proj year 2","During"
"2013-08-04",23.8,81.4,167.4,155.3,12.1,223,"proj year 2","During"
"2013-08-05",24,85,176.5,161.2,15.3,235,"proj year 2","During"
"2013-08-06",23.4,87.6,177,160.7,16.4,236,"proj year 2","During"
"2013-08-07",22.4,86.2,166.8,150.8,16,222,"proj year 2","During"
"2013-08-08",22.2,84.3,161.4,145.2,16.2,215,"proj year 2","During"
"2013-08-09",21.8,90.2,170.1,150.5,19.6,227,"proj year 2","During"
"2013-08-10",21.6,85.1,158.6,142.2,16.4,211,"proj year 2","During"
"2013-08-11",21.9,84.2,159.2,145,14.2,212,"proj year 2","During"
"2013-08-12",20.5,79.1,140.2,130.4,9.8,187,"proj year 2","During"
"2013-08-13",19.1,80.4,132.9,123.4,9.5,177,"proj year 2","During"
"2013-08-14",17.8,75.4,115.8,108,7.7,154,"proj year 2","During"
"2013-08-15",22.1,85.5,163,150.8,12.3,217,"proj year 2","During"
"2013-08-16",18.9,75.7,123.3,115,8.3,164,"proj year 2","During"
"2013-08-17",17.7,73.3,112.2,104.9,7.3,150,"proj year 2","During"
"2013-08-18",17,73.2,107.2,100.2,6.9,143,"proj year 2","During"
"2013-08-19",15.9,67.8,93.3,87.8,5.5,124,"proj year 2","During"
"2013-08-20",15.3,68,90,84.7,5.4,120,"proj year 2","During"
"2013-08-21",14,67.1,81.1,76.3,4.8,108,"proj year 2","During"
"2013-08-22",13.4,67,77.6,73.1,4.5,103,"proj year 2","During"
"2013-08-23",13.6,70.6,83.1,78,5.2,111,"proj year 2","During"
"2013-08-24",14,71.2,86.4,80.9,5.4,115,"proj year 2","During"
"2013-08-25",13.1,71,80.4,75.4,5,107,"proj year 2","During"
"2013-08-26",12.3,71.1,75.8,71.1,4.7,101,"proj year 2","During"
"2013-08-27",12.8,71.4,78.9,73.9,5,105,"proj year 2","During"
"2013-08-28",17.5,75.9,115.1,97.2,17.9,153,"proj year 2","During"
"2013-08-29",23.4,109.4,220.9,179.9,41,294,"proj year 2","During"
"2013-08-30",33.3,166.1,477.2,368,109.3,636,"proj year 2","During"
"2013-08-31",17.8,88.7,136.7,115.8,20.9,182,"proj year 2","During"
"2013-09-01",14.5,80.6,101.3,86.5,14.9,135,"proj year 2","During"
"2013-09-02",14,80.4,97.3,83.1,14.3,130,"proj year 2","During"
"2013-09-03",14.1,83.9,102.4,87.1,15.3,137,"proj year 2","During"
"2013-09-04",12.9,81.1,90.1,76.9,13.2,120,"proj year 2","During"
"2013-09-05",12.2,83.1,87.7,76.1,11.5,117,"proj year 2","During"
"2013-09-06",12.2,86.3,90.9,79,11.9,121,"proj year 2","During"
"2013-09-07",12.1,84.4,88,76.8,11.2,117,"proj year 2","During"
"2013-09-08",11.6,87,86.9,74.8,12.1,116,"proj year 2","During"
"2013-09-09",11.2,92.1,89.4,77.9,11.5,119,"proj year 2","During"
"2013-09-10",10.9,100.4,94.9,80.6,14.3,126,"proj year 2","During"
"2013-09-11",10.5,102.8,93.3,81.4,11.9,124,"proj year 2","During"
"2013-09-12",10.8,101.8,95.3,82.2,13.1,127,"proj year 2","During"
"2013-09-13",11.1,93.7,89.9,81.8,8.1,120,"proj year 2","During"
"2013-09-14",10.4,92.5,83.4,78.8,4.6,111,"proj year 2","During"
"2013-09-15",10.7,86.6,79.7,78,1.7,106,"proj year 2","During"
"2013-09-16",12.30836168,155.7282635,165.7,110.4,55.3,220.9333333,"proj year 3","During"
"2013-09-17",11.62921356,118.5716623,119.6,80.3,39.3,159.4666667,"proj year 3","During"
"2013-09-18",9.750854708,118.5361997,99.6,66.9,32.7,132.8,"proj year 3","During"
"2013-09-19",8.653548132,133.3585186,99.9,66.9,33,133.2,"proj year 3","During"
"2013-09-20",8.06001229,134.992517,94.1,62.9,31.2,125.4666667,"proj year 3","During"
"2013-09-21",9.760118723,137.8241549,115.4,77.2,38.2,153.8666667,"proj year 3","During"
"2013-09-22",17.2064699,267.0382626,634.4,363.8,270.6,845.8666667,"proj year 3","During"
"2013-09-23",38.5788714,368.1695652,1241.2,801.9,439.3,1654.933333,"proj year 3","During"
"2013-09-24",20.79132416,191.0571288,359.1,237.4,121.7,478.8,"proj year 3","During"
"2013-09-25",13.88835537,123.9636091,149.5,100.2,49.3,199.3333333,"proj year 3","During"
"2013-09-26",11.03823331,103.043471,98.4,66.3,32.1,131.2,"proj year 3","During"
"2013-09-27",10.08308144,91.03441095,79.2,53.5,25.7,105.6,"proj year 3","During"
"2013-09-28",79.38142578,4394.980391,90721,59211.3,31509.7,120961.3333,"proj year 3","During"
"2013-09-29",164.1008408,8723.857433,125662.6,79697.7,45964.9,167550.1333,"proj year 3","During"
"2013-09-30",156.6512951,6741.196455,100584.5,63205.1,37379.4,134112.6667,"proj year 3","During"
"2013-10-01",93.77128445,3969.926705,32515.4,19743.6,12771.8,43353.86667,"proj year 3","During"
"2013-10-02",76.69158188,2983.372356,19898.8,11900.5,7998.3,26531.73333,"proj year 3","During"
"2013-10-03",59.77200874,2161.528303,11195.2,6578.7,4616.5,14926.93333,"proj year 3","During"
"2013-10-04",48.67050444,1776.735243,7502.6,4364.8,3137.8,10003.46667,"proj year 3","During"
"2013-10-05",44.43746625,1499.064077,5754.8,3316.2,2438.6,7673.066667,"proj year 3","During"
"2013-10-06",45.33690824,1142.813743,4488.9,2550.3,1938.6,5985.2,"proj year 3","During"
"2013-10-07",51.16441178,1286.585394,5822.1,3336,2486.1,7762.8,"proj year 3","During"
"2013-10-08",45.85267218,1050.130906,4198.7,2376.6,1822.1,5598.266667,"proj year 3","During"
"2013-10-09",36.85196246,731.1368738,2333.2,1295,1038.2,3110.933333,"proj year 3","During"
"2013-10-10",33.39257018,613.4791136,1771.3,973.6,797.7,2361.733333,"proj year 3","During"
"2013-10-11",31.23516736,423.07999,1146.1,731.8,414.3,1528.133333,"proj year 3","During"
"2013-10-12",29.0950615,322.3635626,811.3,530.3,281,1081.733333,"proj year 3","During"
"2013-10-13",27.28988771,264.3555429,623.6,409.9,213.7,831.4666667,"proj year 3","During"
"2013-10-14",25.94009574,220.9003632,495.6,327.3,168.3,660.8,"proj year 3","During"
"2013-10-15",24.76012849,186.0670435,398.2,264.2,134,530.9333333,"proj year 3","During"
"2013-10-16",24.11290764,168.2643593,350.5,233.1,117.4,467.3333333,"proj year 3","During"
"2013-10-17",23.08546814,166.8739094,332.5,218.9,113.6,443.3333333,"proj year 3","During"
"2013-10-18",21.99827549,751.3255267,1416.7,844.9,571.8,1888.933333,"proj year 3","During"
"2013-10-19",21.18909219,1737.595426,3183.9,1854.1,1329.8,4245.2,"proj year 3","During"
"2013-10-20",20.55067707,1373.022871,2436.1,1399.7,1036.4,3248.133333,"proj year 3","During"
"2013-10-21",20.11762405,859.5647751,1496,838.7,657.3,1994.666667,"proj year 3","During"
"2013-10-22",20.00912493,701.2615984,1211.8,681.4,530.4,1615.733333,"proj year 3","During"
"2013-10-23",19.62859178,640.2098652,1087.7,616.1,471.6,1450.266667,"proj year 3","During"
"2013-10-24",19.0499298,372.5516643,613.4,395.8,217.6,817.8666667,"proj year 3","During"
"2013-10-25",18.50586174,254.767477,408.2,268.5,139.7,544.2666667,"proj year 3","During"
"2013-10-26",17.83568311,194.1161781,299.3,197.3,102,399.0666667,"proj year 3","During"
"2013-10-27",17.64793246,185.1600815,281.5,178.9,102.6,375.3333333,"proj year 3","During"
"2013-10-28",17.07650375,132.8910082,195.9,131.1,64.8,261.2,"proj year 3","During"
"2013-10-29",16.41387288,121.8772365,173.1,116.1,57,230.8,"proj year 3","During"
"2013-10-30",15.95220126,112.417699,154.9,104.2,50.7,206.5333333,"proj year 3","During"
"2013-10-31",17.00322753,138.2756657,204.6,136.7,67.9,272.8,"proj year 3","During"
"2013-11-01",16.09851122,121.6273711,170.4,114.2,56.2,227.2,"proj year 3","During"
"2013-11-02",22.4583955,849.9025738,2134,1260.1,873.9,2845.333333,"proj year 3","During"
"2013-11-03",21.04677173,779.124596,1464.6,828.7,635.9,1952.8,"proj year 3","During"
"2013-11-04",16.80181964,647.0771411,942.7,545.4,397.3,1256.933333,"proj year 3","During"
"2013-11-05",17.09353212,329.5907377,484.9,313.7,171.2,646.5333333,"proj year 3","During"
"2013-11-06",16.84844323,1160.060584,1650.1,968.3,681.8,2200.133333,"proj year 3","During"
"2013-11-07",50.53146864,3453.765668,19762.3,12125.7,7636.6,26349.73333,"proj year 3","During"
"2013-11-08",36.79672532,2451.590051,7986.7,4731.9,3254.8,10648.93333,"proj year 3","During"
"2013-11-09",22.96148927,2006.560209,3958.3,2315.8,1642.5,5277.733333,"proj year 3","During"
"2013-11-10",18.09971965,2037.772453,3208.5,1881.3,1327.2,4278,"proj year 3","During"
"2013-11-11",16.7129828,2617.629989,3777.6,2248.6,1529,5036.8,"proj year 3","During"
"2013-11-12",23.4447365,3684.947593,8008.3,4874.8,3133.5,10677.73333,"proj year 3","During"
"2013-11-13",32.21217707,2567.876456,7140.9,4235.3,2905.6,9521.2,"proj year 3","During"
"2013-11-14",23.66241828,2366.232915,4806,2837.2,1968.8,6408,"proj year 3","During"
"2013-11-15",20.6063678,2080.594978,3732.2,2193.6,1538.6,4976.266667,"proj year 3","During"
"2013-11-16",22.47572184,1410.640276,2758,1585.3,1172.7,3677.333333,"proj year 3","During"
"2013-11-17",19.71862939,1173.159685,1998.9,1137,861.9,2665.2,"proj year 3","During"
"2013-11-18",22.74695774,1566.974785,3905.6,2324.6,1581,5207.466667,"proj year 3","During"
"2013-11-19",68.38231911,4598.580935,27618.6,16924.1,10694.5,36824.8,"proj year 3","During"
"2013-11-20",41.39418957,2995.600137,10834,6481.8,4352.2,14445.33333,"proj year 3","During"
"2013-11-21",31.32254852,2506.559455,6790.6,4021.2,2769.4,9054.133333,"proj year 3","During"
"2013-11-22",28.19435748,2413.59342,5886.7,3479.4,2407.3,7848.933333,"proj year 3","During"
"2013-11-23",26.96198252,2156.734845,5035.3,2959.3,2076,6713.733333,"proj year 3","During"
"2013-11-24",25.17926015,1632.803632,3555.6,2058.2,1497.4,4740.8,"proj year 3","During"
"2013-11-25",23.41260403,1185.953564,2405,1378.9,1026.1,3206.666667,"proj year 3","During"
"2013-11-26",21.96034212,864.0059773,1641.9,919.2,722.7,2189.2,"proj year 3","During"
"2013-11-27",21.47425967,657.3759533,1219.4,672.5,546.9,1625.866667,"proj year 3","During"
"2013-11-28",20.66181207,585.4653433,1048.7,592.3,456.4,1398.266667,"proj year 3","During"
"2013-11-29",19.5630074,454.162555,767.9,477.1,290.8,1023.866667,"proj year 3","During"
"2013-11-30",19.28200575,372.0565717,619.8,398.2,221.6,826.4,"proj year 3","During"
"2013-12-01",48.62088892,3467.856472,18526.3,11381.9,7144.4,24701.73333,"proj year 3","During"
"2013-12-02",53.08035062,3808.892542,17963.7,10898.1,7065.6,23951.6,"proj year 3","During"
"2013-12-03",34.4799662,2913.00853,8765.9,5236.3,3529.6,11687.86667,"proj year 3","During"
"2013-12-04",28.29966235,1904.034986,4656,2717.5,1938.5,6208,"proj year 3","During"
"2013-12-05",25.69130568,1761.113891,3915.2,2276.6,1638.6,5220.266667,"proj year 3","During"
"2013-12-06",25.43326492,1425.340458,3139.6,1805.2,1334.4,4186.133333,"proj year 3","During"
"2013-12-07",23.30361612,976.5950237,1966.3,1199.4,766.9,2621.733333,"proj year 3","During"
"2013-12-08",22.44207195,837.6435555,1622.6,907.6,715,2163.466667,"proj year 3","During"
"2013-12-09",21.93736501,652.2676836,1236.9,681.9,555,1649.2,"proj year 3","During"
"2013-12-10",21.46645686,594.5874335,1104.2,614.7,489.5,1472.266667,"proj year 3","During"
"2013-12-11",20.60978752,371.8865246,662.9,430.7,232.2,883.8666667,"proj year 3","During"
"2013-12-12",20.19185247,315.8685636,551.1,360.5,190.6,734.8,"proj year 3","During"
"2013-12-13",20.21687658,288.2070619,505.1,331.1,174,673.4666667,"proj year 3","During"
"2013-12-14",19.21461244,213.8397366,355.2,234.8,120.4,473.6,"proj year 3","During"
"2013-12-15",19.39335604,205.7166668,344.8,228.1,116.7,459.7333333,"proj year 3","During"
"2013-12-16",18.89904873,164.6010825,270,179.6,90.4,360,"proj year 3","During"
"2013-12-17",17.52434792,140.2584137,212.5,142,70.5,283.3333333,"proj year 3","During"
"2013-12-18",17.19058487,119.3022756,177.4,119.1,58.3,236.5333333,"proj year 3","During"
"2013-12-19",16.14639723,100.2113847,139.7,94.3,45.4,186.2666667,"proj year 3","During"
"2013-12-20",16.31994102,97.48418066,138.4,93.3,45.1,184.5333333,"proj year 3","During"
"2013-12-21",18.37776739,119.2934733,191,128.1,62.9,254.6666667,"proj year 3","During"
"2013-12-22",18.03685458,88.49013796,138,93.4,44.6,184,"proj year 3","During"
"2013-12-23",25.41669051,558.7963081,1398.9,800.2,598.7,1865.2,"proj year 3","During"
"2013-12-24",22.18695608,285.4044166,565.9,367.8,198.1,754.5333333,"proj year 3","During"
"2013-12-25",18.50938768,141.9572005,227.5,152,75.5,303.3333333,"proj year 3","During"
"2013-12-26",17.65401828,113.8391223,173.7,116.8,56.9,231.6,"proj year 3","During"
"2013-12-27",18.78042798,135.8346269,229.6,153.2,76.4,306.1333333,"proj year 3","During"
"2013-12-28",19.78691696,122.4231319,214.2,143.5,70.7,285.6,"proj year 3","During"
"2013-12-29",17.38297798,71.50774792,107.5,73.2,34.3,143.3333333,"proj year 3","During"
"2013-12-30",16.85259696,59.7639462,87,59.5,27.5,116,"proj year 3","During"
"2013-12-31",16.79897388,59.36722168,86.2,59,27.2,114.9333333,"proj year 3","During"
"2014-01-01",16.33251562,51.47067811,72.7,49.9,22.8,96.93333333,"proj year 3","During"
"2014-01-02",18.44214244,162.1702699,350.7,212.4,138.3,467.6,"proj year 3","During"
"2014-01-03",31.88547698,986.329532,3022,1733.3,1288.7,4029.333333,"proj year 3","During"
"2014-01-04",21.01718493,293.7926445,538.3,352.5,185.8,717.7333333,"proj year 3","During"
