agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
5s,15s,5s,3n,4s,2s,12n
USGS,12045500,60,148527,2011,9,819.2
USGS,12045500,60,148527,2011,10,998.9
USGS,12045500,60,148527,2011,11,1592
USGS,12045500,60,148527,2011,12,1301
USGS,12045500,60,148527,2012,1,2053
USGS,12045500,60,148527,2012,2,1596
USGS,12045500,60,148527,2012,3,1314
USGS,12045500,60,148527,2012,4,1827
USGS,12045500,60,148527,2012,5,2280
USGS,12045500,60,148527,2012,6,2541
USGS,12045500,60,148527,2012,7,2282
USGS,12045500,60,148527,2012,8,911.8
USGS,12045500,60,148527,2012,9,420.4
USGS,12045500,60,148527,2012,10,815.6
USGS,12045500,60,148527,2012,11,2206
USGS,12045500,60,148527,2012,12,2341
USGS,12045500,60,148527,2013,1,1316
USGS,12045500,60,148527,2013,2,1104
USGS,12045500,60,148527,2013,3,1797
USGS,12045500,60,148527,2013,4,1870
USGS,12045500,60,148527,2013,5,2375
USGS,12045500,60,148527,2013,6,2187
USGS,12045500,60,148527,2013,7,1440
USGS,12045500,60,148527,2013,8,664.5
USGS,12045500,60,148527,2013,9,842.9
USGS,12045500,60,148527,2013,10,1044
USGS,12045500,60,148527,2013,11,847.3
USGS,12045500,60,148527,2013,12,723.6
USGS,12045500,60,148527,2014,1,1144
USGS,12045500,60,148527,2014,2,1170
USGS,12045500,60,148527,2014,3,3225
USGS,12045500,60,148527,2014,4,1646
USGS,12045500,60,148527,2014,5,2295
USGS,12045500,60,148527,2014,6,1685
USGS,12045500,60,148527,2014,7,1085
USGS,12045500,60,148527,2014,8,541.2
USGS,12045500,60,148527,2014,9,353.4
USGS,12045500,60,148527,2014,10,1434
USGS,12045500,60,148527,2014,11,2807
USGS,12045500,60,148527,2014,12,3309
USGS,12045500,60,148527,2015,1,2008
USGS,12045500,60,148527,2015,2,2442
USGS,12045500,60,148527,2015,3,1292
USGS,12045500,60,148527,2015,4,994.3
USGS,12045500,60,148527,2015,5,768.8
USGS,12045500,60,148527,2015,6,529.8
USGS,12045500,60,148527,2015,7,351.7
USGS,12045500,60,148527,2015,8,308.8
USGS,12045500,60,148527,2015,9,451.5
USGS,12045500,60,148527,2015,10,600.5
USGS,12045500,60,148527,2015,11,2614
USGS,12045500,60,148527,2015,12,2896
USGS,12045500,60,148527,2016,1,2411
USGS,12045500,60,148527,2016,2,2839
USGS,12045500,60,148527,2016,3,2501
USGS,12045500,60,148527,2016,4,2011
USGS,12045500,60,148527,2016,5,1785
USGS,12045500,60,148527,2016,6,1468
USGS,12045500,60,148527,2016,7,830.6
USGS,12045500,60,148527,2016,8,466.5
USGS,12045500,60,148527,2016,9,364.3